"playerID","yearID","lgID"
"boyerke01",1962,"NL"
"boyerke01",1963,"NL"
"boyerke01",1964,"NL"
"bradlmi01",2008,"AL"
"bradlph01",1985,"AL"
"brancra01",1947,"NL"
"brancra01",1948,"NL"
"brancra01",1949,"NL"
"brandja01",1961,"AL"
"brantje01",1990,"NL"
"braunry02",2008,"NL"
"braunry02",2009,"NL"
"braunry02",2010,"NL"
"brechha01",1947,"NL"
"brechha01",1948,"NL"
"brenlbo01",1984,"NL"
"bressed01",1964,"AL"
"brettge01",1976,"AL"
"brettge01",1977,"AL"
"brettge01",1978,"AL"
"brettge01",1979,"AL"
"brettge01",1980,"AL"
"brettge01",1981,"AL"
"brettge01",1982,"AL"
"brettge01",1983,"AL"
"brettge01",1984,"AL"
"brettge01",1985,"AL"
"brettge01",1986,"AL"
"brettge01",1987,"AL"
"brettge01",1988,"AL"
"brettke01",1974,"NL"
"breweji01",1973,"NL"
"breweto01",1956,"AL"
"bridgro01",1958,"AL"
"bridgto01",1934,"AL"
"bridgto01",1935,"AL"
"bridgto01",1936,"AL"
"bridgto01",1937,"AL"
"bridgto01",1939,"AL"
"bridgto01",1940,"AL"
"brinked01",1973,"AL"
"brisslo01",1949,"AL"
"brocklo01",1967,"NL"
"brocklo01",1971,"NL"
"brocklo01",1972,"NL"
"brocklo01",1974,"NL"
"brocklo01",1975,"NL"
"brocklo01",1979,"NL"
"brookhu01",1986,"NL"
"brookhu01",1987,"NL"
"brosisc01",1998,"AL"
"brownch02",1986,"NL"
"brownji03",1942,"NL"
"brownke01",1992,"AL"
"brownke01",1996,"NL"
"brownke01",1997,"NL"
"brownke01",1998,"NL"
"brownke01",2000,"NL"
"brownke01",2003,"NL"
"brownma01",1938,"NL"
"brownto05",1991,"NL"
"broxtjo01",2009,"NL"
"broxtjo01",2010,"NL"
"brunato01",1985,"AL"
"buchhcl01",2010,"AL"
"buckjo01",2010,"AL"
"bucknbi01",1981,"NL"
"buehrma01",2002,"AL"
"buehrma01",2005,"AL"
"buehrma01",2006,"AL"
"buehrma01",2009,"AL"
"bufordo01",1971,"AL"
"buhlbo01",1960,"NL"
"buhneja01",1996,"AL"
"bumbral01",1980,"AL"
"bunniji01",1957,"AL"
"bunniji01",1959,"AL"
"bunniji01",1961,"AL"
"bunniji01",1962,"AL"
"bunniji01",1963,"AL"
"bunniji01",1964,"NL"
"bunniji01",1966,"NL"
"burdele01",1957,"NL"
"burdele01",1959,"NL"
"burgesm01",1954,"NL"
"burgesm01",1955,"NL"
"burgesm01",1959,"NL"
"burgesm01",1960,"NL"
"burgesm01",1961,"NL"
"burgesm01",1964,"NL"
"burgmto01",1980,"AL"
"burkejo03",1993,"NL"
"burkejo03",2001,"NL"
